,No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Game time
1,1,,藤中優斗,4,■,■,■,■,,14,2,0,14.3,0.50,1,0,0,0.0,0,-,13,0,1,3,3.8,21,4.0,8.0,38.1,161,2020-12-04,2020,12,04,愛知県,刈谷市総合運動公園体育館,ジェイテクトSTINGS,ウルフドッグス名古屋,高橋慎治,若山智昭,3,1,4,Win,106
2,2,,金丸晃大,2,,□,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,161,2020-12-04,2020,12,04,愛知県,刈谷市総合運動公園体育館,ジェイテクトSTINGS,ウルフドッグス名古屋,高橋慎治,若山智昭,3,1,4,Win,106
3,3,,伏見大和,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,161,2020-12-04,2020,12,04,愛知県,刈谷市総合運動公園体育館,ジェイテクトSTINGS,ウルフドッグス名古屋,高橋慎治,若山智昭,3,1,4,Win,106
4,4,,福山汰一,4,■,■,■,■,,10,6,1,60.0,1.50,0,0,0,-,3,0.75,25,2,1,9,16.0,0,0.0,0.0,-,161,2020-12-04,2020,12,04,愛知県,刈谷市総合運動公園体育館,ジェイテクトSTINGS,ウルフドッグス名古屋,高橋慎治,若山智昭,3,1,4,Win,106
5,5,,饒書涵,4,■,■,■,■,,13,9,1,69.2,2.25,0,0,0,-,2,0.50,8,0,2,1,-3.1,1,1.0,0.0,100.0,161,2020-12-04,2020,12,04,愛知県,刈谷市総合運動公園体育館,ジェイテクトSTINGS,ウルフドッグス名古屋,高橋慎治,若山智昭,3,1,4,Win,106
6,6,,フォンテレスフェリペ,4,■,■,■,■,,18,7,1,38.9,1.75,6,4,0,66.7,1,0.25,16,1,4,6,9.4,36,11.0,12.0,47.2,161,2020-12-04,2020,12,04,愛知県,刈谷市総合運動公園体育館,ジェイテクトSTINGS,ウルフドッグス名古屋,高橋慎治,若山智昭,3,1,4,Win,106
7,7,,柳澤広平,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,161,2020-12-04,2020,12,04,愛知県,刈谷市総合運動公園体育館,ジェイテクトSTINGS,ウルフドッグス名古屋,高橋慎治,若山智昭,3,1,4,Win,106
8,10,,小林光輝,4,■,■,■,■,,1,0,0,0.0,-,0,0,0,-,1,0.25,11,0,0,2,4.5,0,0.0,0.0,-,161,2020-12-04,2020,12,04,愛知県,刈谷市総合運動公園体育館,ジェイテクトSTINGS,ウルフドッグス名古屋,高橋慎治,若山智昭,3,1,4,Win,106
9,11,,袴谷亮介,2,□,,□,,,0,0,0,-,-,0,0,0,-,0,-,2,0,2,0,-25.0,0,0.0,0.0,-,161,2020-12-04,2020,12,04,愛知県,刈谷市総合運動公園体育館,ジェイテクトSTINGS,ウルフドッグス名古屋,高橋慎治,若山智昭,3,1,4,Win,106
10,12,L,興梠亮,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,161,2020-12-04,2020,12,04,愛知県,刈谷市総合運動公園体育館,ジェイテクトSTINGS,ウルフドッグス名古屋,高橋慎治,若山智昭,3,1,4,Win,106
11,14,,西田有志,4,■,■,■,■,,45,26,0,57.8,6.50,20,13,0,65.0,4,1.00,16,0,5,6,1.6,0,0.0,0.0,-,161,2020-12-04,2020,12,04,愛知県,刈谷市総合運動公園体育館,ジェイテクトSTINGS,ウルフドッグス名古屋,高橋慎治,若山智昭,3,1,4,Win,106
12,16,,久保山尚,1,,,,□,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-,161,2020-12-04,2020,12,04,愛知県,刈谷市総合運動公園体育館,ジェイテクトSTINGS,ウルフドッグス名古屋,高橋慎治,若山智昭,3,1,4,Win,106
13,17,L,本間隆太,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,9,4.0,4.0,66.7,161,2020-12-04,2020,12,04,愛知県,刈谷市総合運動公園体育館,ジェイテクトSTINGS,ウルフドッグス名古屋,高橋慎治,若山智昭,3,1,4,Win,106
14,19,,浅野博亮,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,161,2020-12-04,2020,12,04,愛知県,刈谷市総合運動公園体育館,ジェイテクトSTINGS,ウルフドッグス名古屋,高橋慎治,若山智昭,3,1,4,Win,106
1,1,,山田脩造,4,■,■,■,■,,9,2,1,22.2,0.50,0,0,0,-,0,-,14,0,3,6,5.4,16,5.0,6.0,50.0,161,2020-12-04,2020,12,04,愛知県,刈谷市総合運動公園体育館,ウルフドッグス名古屋,ジェイテクトSTINGS,ﾃｨﾘｶｲﾈﾝﾄﾐｰ,ｳﾞｫﾘﾈﾝｶｽﾍﾟﾙ,1,3,4,Lose,106
2,2,,山近哲,4,■,■,■,■,,6,1,0,16.7,0.25,0,0,0,-,0,-,6,0,1,1,0.0,0,0.0,0.0,-,161,2020-12-04,2020,12,04,愛知県,刈谷市総合運動公園体育館,ウルフドッグス名古屋,ジェイテクトSTINGS,ﾃｨﾘｶｲﾈﾝﾄﾐｰ,ｳﾞｫﾘﾈﾝｶｽﾍﾟﾙ,1,3,4,Lose,106
3,3,,クレクバルトシュ,4,■,■,■,■,,47,24,4,51.1,6.00,13,8,1,61.5,1,0.25,12,0,5,2,-6.2,1,0.0,0.0,0.0,161,2020-12-04,2020,12,04,愛知県,刈谷市総合運動公園体育館,ウルフドッグス名古屋,ジェイテクトSTINGS,ﾃｨﾘｶｲﾈﾝﾄﾐｰ,ｳﾞｫﾘﾈﾝｶｽﾍﾟﾙ,1,3,4,Lose,106
4,5,,前田一誠,4,■,■,■,■,,0,0,0,-,-,0,0,0,-,2,0.50,15,0,2,4,3.3,1,0.0,0.0,0.0,161,2020-12-04,2020,12,04,愛知県,刈谷市総合運動公園体育館,ウルフドッグス名古屋,ジェイテクトSTINGS,ﾃｨﾘｶｲﾈﾝﾄﾐｰ,ｳﾞｫﾘﾈﾝｶｽﾍﾟﾙ,1,3,4,Lose,106
5,6,,近裕崇,4,■,■,■,■,,10,7,0,70.0,1.75,0,0,0,-,1,0.25,14,1,1,2,8.9,1,1.0,0.0,100.0,161,2020-12-04,2020,12,04,愛知県,刈谷市総合運動公園体育館,ウルフドッグス名古屋,ジェイテクトSTINGS,ﾃｨﾘｶｲﾈﾝﾄﾐｰ,ｳﾞｫﾘﾈﾝｶｽﾍﾟﾙ,1,3,4,Lose,106
6,7,,白岩直也,2,,□,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,1,0.0,0.0,0.0,161,2020-12-04,2020,12,04,愛知県,刈谷市総合運動公園体育館,ウルフドッグス名古屋,ジェイテクトSTINGS,ﾃｨﾘｶｲﾈﾝﾄﾐｰ,ｳﾞｫﾘﾈﾝｶｽﾍﾟﾙ,1,3,4,Lose,106
7,9,,ユンボンウ,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,161,2020-12-04,2020,12,04,愛知県,刈谷市総合運動公園体育館,ウルフドッグス名古屋,ジェイテクトSTINGS,ﾃｨﾘｶｲﾈﾝﾄﾐｰ,ｳﾞｫﾘﾈﾝｶｽﾍﾟﾙ,1,3,4,Lose,106
8,11,,傳田亮太,1,,,,□,,1,1,0,100.0,1.00,0,0,0,-,0,-,4,0,0,2,12.5,0,0.0,0.0,-,161,2020-12-04,2020,12,04,愛知県,刈谷市総合運動公園体育館,ウルフドッグス名古屋,ジェイテクトSTINGS,ﾃｨﾘｶｲﾈﾝﾄﾐｰ,ｳﾞｫﾘﾈﾝｶｽﾍﾟﾙ,1,3,4,Lose,106
9,14,,椿山竜介,1,,,,□,,0,0,0,-,-,0,0,0,-,0,-,1,0,1,0,-25.0,0,0.0,0.0,-,161,2020-12-04,2020,12,04,愛知県,刈谷市総合運動公園体育館,ウルフドッグス名古屋,ジェイテクトSTINGS,ﾃｨﾘｶｲﾈﾝﾄﾐｰ,ｳﾞｫﾘﾈﾝｶｽﾍﾟﾙ,1,3,4,Lose,106
10,21,,永露元稀,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,3,1,1,0,25.0,0,0.0,0.0,-,161,2020-12-04,2020,12,04,愛知県,刈谷市総合運動公園体育館,ウルフドッグス名古屋,ジェイテクトSTINGS,ﾃｨﾘｶｲﾈﾝﾄﾐｰ,ｳﾞｫﾘﾈﾝｶｽﾍﾟﾙ,1,3,4,Lose,106
11,22,,高梨健太,4,■,■,■,■,,34,18,1,52.9,4.50,0,0,0,-,2,0.50,11,0,2,2,0.0,29,8.0,5.0,36.2,161,2020-12-04,2020,12,04,愛知県,刈谷市総合運動公園体育館,ウルフドッグス名古屋,ジェイテクトSTINGS,ﾃｨﾘｶｲﾈﾝﾄﾐｰ,ｳﾞｫﾘﾈﾝｶｽﾍﾟﾙ,1,3,4,Lose,106
12,23,,勝岡将斗,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,1,25.0,0,0.0,0.0,-,161,2020-12-04,2020,12,04,愛知県,刈谷市総合運動公園体育館,ウルフドッグス名古屋,ジェイテクトSTINGS,ﾃｨﾘｶｲﾈﾝﾄﾐｰ,ｳﾞｫﾘﾈﾝｶｽﾍﾟﾙ,1,3,4,Lose,106
13,24,L,小川智大,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,17,10.0,5.0,73.5,161,2020-12-04,2020,12,04,愛知県,刈谷市総合運動公園体育館,ウルフドッグス名古屋,ジェイテクトSTINGS,ﾃｨﾘｶｲﾈﾝﾄﾐｰ,ｳﾞｫﾘﾈﾝｶｽﾍﾟﾙ,1,3,4,Lose,106
14,26,,山崎彰都,1,,,,□,,5,1,1,20.0,1.00,0,0,0,-,0,-,3,0,1,1,0.0,9,3.0,4.0,55.6,161,2020-12-04,2020,12,04,愛知県,刈谷市総合運動公園体育館,ウルフドッグス名古屋,ジェイテクトSTINGS,ﾃｨﾘｶｲﾈﾝﾄﾐｰ,ｳﾞｫﾘﾈﾝｶｽﾍﾟﾙ,1,3,4,Lose,106
1,4,,中村竜輔,5,■,■,■,■,■,10,4,0,40.0,0.80,0,0,0,-,2,0.40,15,2,1,1,13.3,2,1.0,0.0,50.0,111,2020-10-23,2020,10,23,長野県,松本市総合体育館,VC長野トライデンツ,ジェイテクトSTINGS,ｱｰﾏﾂﾏｻｼﾞｪﾃﾞｨ,宮澤武吉,2,3,5,Lose,117
2,5,,笠利真吾,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,111,2020-10-23,2020,10,23,長野県,松本市総合体育館,VC長野トライデンツ,ジェイテクトSTINGS,ｱｰﾏﾂﾏｻｼﾞｪﾃﾞｨ,宮澤武吉,2,3,5,Lose,117
3,6,,伊藤樹,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,111,2020-10-23,2020,10,23,長野県,松本市総合体育館,VC長野トライデンツ,ジェイテクトSTINGS,ｱｰﾏﾂﾏｻｼﾞｪﾃﾞｨ,宮澤武吉,2,3,5,Lose,117
4,7,,戸嵜嵩大,5,■,■,■,■,■,42,18,1,42.9,3.60,7,2,1,28.6,1,0.20,17,0,5,4,-1.5,39,19.0,14.0,66.7,111,2020-10-23,2020,10,23,長野県,松本市総合体育館,VC長野トライデンツ,ジェイテクトSTINGS,ｱｰﾏﾂﾏｻｼﾞｪﾃﾞｨ,宮澤武吉,2,3,5,Lose,117
5,8,,河東祐大,5,■,■,■,■,■,2,0,0,0.0,-,0,0,0,-,0,-,18,0,0,2,2.8,0,0.0,0.0,-,111,2020-10-23,2020,10,23,長野県,松本市総合体育館,VC長野トライデンツ,ジェイテクトSTINGS,ｱｰﾏﾂﾏｻｼﾞｪﾃﾞｨ,宮澤武吉,2,3,5,Lose,117
6,9,,池田幸太,5,■,■,■,■,■,30,16,4,53.3,3.20,6,5,1,83.3,1,0.20,17,1,8,2,-2.9,30,16.0,8.0,66.7,111,2020-10-23,2020,10,23,長野県,松本市総合体育館,VC長野トライデンツ,ジェイテクトSTINGS,ｱｰﾏﾂﾏｻｼﾞｪﾃﾞｨ,宮澤武吉,2,3,5,Lose,117
7,10,,ヌルムルキリヴァン,5,■,■,■,■,■,48,20,3,41.7,4.00,28,12,2,42.9,2,0.40,21,2,5,4,8.3,0,0.0,0.0,-,111,2020-10-23,2020,10,23,長野県,松本市総合体育館,VC長野トライデンツ,ジェイテクトSTINGS,ｱｰﾏﾂﾏｻｼﾞｪﾃﾞｨ,宮澤武吉,2,3,5,Lose,117
8,12,L,山本憲吾,5,●,●,●,●,●,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,10,3.0,3.0,45.0,111,2020-10-23,2020,10,23,長野県,松本市総合体育館,VC長野トライデンツ,ジェイテクトSTINGS,ｱｰﾏﾂﾏｻｼﾞｪﾃﾞｨ,宮澤武吉,2,3,5,Lose,117
9,13,,椿芽久,2,□,□,,,,1,0,0,0.0,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-,111,2020-10-23,2020,10,23,長野県,松本市総合体育館,VC長野トライデンツ,ジェイテクトSTINGS,ｱｰﾏﾂﾏｻｼﾞｪﾃﾞｨ,宮澤武吉,2,3,5,Lose,117
10,14,,矢貫龍馬,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,111,2020-10-23,2020,10,23,長野県,松本市総合体育館,VC長野トライデンツ,ジェイテクトSTINGS,ｱｰﾏﾂﾏｻｼﾞｪﾃﾞｨ,宮澤武吉,2,3,5,Lose,117
11,16,,森崎健史,5,■,■,■,■,■,11,6,0,54.5,1.20,0,0,0,-,0,-,18,1,5,1,0.0,5,2.0,1.0,50.0,111,2020-10-23,2020,10,23,長野県,松本市総合体育館,VC長野トライデンツ,ジェイテクトSTINGS,ｱｰﾏﾂﾏｻｼﾞｪﾃﾞｨ,宮澤武吉,2,3,5,Lose,117
12,21,,高澤和貴,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,111,2020-10-23,2020,10,23,長野県,松本市総合体育館,VC長野トライデンツ,ジェイテクトSTINGS,ｱｰﾏﾂﾏｻｼﾞｪﾃﾞｨ,宮澤武吉,2,3,5,Lose,117
13,22,L,角雅也,5,〇,〇,〇,〇,〇,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,111,2020-10-23,2020,10,23,長野県,松本市総合体育館,VC長野トライデンツ,ジェイテクトSTINGS,ｱｰﾏﾂﾏｻｼﾞｪﾃﾞｨ,宮澤武吉,2,3,5,Lose,117
14,24,,長田翼,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,111,2020-10-23,2020,10,23,長野県,松本市総合体育館,VC長野トライデンツ,ジェイテクトSTINGS,ｱｰﾏﾂﾏｻｼﾞｪﾃﾞｨ,宮澤武吉,2,3,5,Lose,117
1,1,,藤中優斗,5,■,■,■,■,■,23,11,3,47.8,2.20,0,0,0,-,1,0.20,18,0,3,3,0.0,29,17.0,9.0,74.1,111,2020-10-23,2020,10,23,長野県,松本市総合体育館,ジェイテクトSTINGS,VC長野トライデンツ,高橋慎治,若山智昭,3,2,5,Win,117
2,2,,金丸晃大,3,□,,□,,□,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,111,2020-10-23,2020,10,23,長野県,松本市総合体育館,ジェイテクトSTINGS,VC長野トライデンツ,高橋慎治,若山智昭,3,2,5,Win,117
3,3,,伏見大和,5,■,■,■,■,■,11,5,0,45.5,1.00,0,0,0,-,2,0.40,17,0,4,3,-1.5,0,0.0,0.0,-,111,2020-10-23,2020,10,23,長野県,松本市総合体育館,ジェイテクトSTINGS,VC長野トライデンツ,高橋慎治,若山智昭,3,2,5,Win,117
4,4,,福山汰一,5,■,■,■,■,■,9,5,0,55.6,1.00,0,0,0,-,3,0.60,24,0,1,2,1.0,1,1.0,0.0,100.0,111,2020-10-23,2020,10,23,長野県,松本市総合体育館,ジェイテクトSTINGS,VC長野トライデンツ,高橋慎治,若山智昭,3,2,5,Win,117
5,6,,フォンテレスフェリペ,3,,,■,■,■,21,10,1,47.6,3.33,5,1,0,20.0,0,-,11,0,1,1,0.0,14,8.0,3.0,67.9,111,2020-10-23,2020,10,23,長野県,松本市総合体育館,ジェイテクトSTINGS,VC長野トライデンツ,高橋慎治,若山智昭,3,2,5,Win,117
6,7,,柳澤広平,2,■,■,,,,15,7,0,46.7,3.50,1,0,0,0.0,0,-,5,0,0,0,0.0,3,2.0,0.0,66.7,111,2020-10-23,2020,10,23,長野県,松本市総合体育館,ジェイテクトSTINGS,VC長野トライデンツ,高橋慎治,若山智昭,3,2,5,Win,117
7,8,,郡浩也,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,111,2020-10-23,2020,10,23,長野県,松本市総合体育館,ジェイテクトSTINGS,VC長野トライデンツ,高橋慎治,若山智昭,3,2,5,Win,117
8,10,,小林光輝,2,,□,,□,,0,0,0,-,-,0,0,0,-,0,-,3,0,1,1,0.0,0,0.0,0.0,-,111,2020-10-23,2020,10,23,長野県,松本市総合体育館,ジェイテクトSTINGS,VC長野トライデンツ,高橋慎治,若山智昭,3,2,5,Win,117
9,12,L,興梠亮,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,111,2020-10-23,2020,10,23,長野県,松本市総合体育館,ジェイテクトSTINGS,VC長野トライデンツ,高橋慎治,若山智昭,3,2,5,Win,117
10,14,,西田有志,5,■,■,■,■,■,52,25,5,48.1,5.00,17,11,1,64.7,2,0.40,19,1,10,5,-1.3,0,0.0,0.0,-,111,2020-10-23,2020,10,23,長野県,松本市総合体育館,ジェイテクトSTINGS,VC長野トライデンツ,高橋慎治,若山智昭,3,2,5,Win,117
11,16,,久保山尚,5,■,■,■,■,■,0,0,0,-,-,0,0,0,-,1,0.20,10,0,1,3,5.0,1,0.0,0.0,0.0,111,2020-10-23,2020,10,23,長野県,松本市総合体育館,ジェイテクトSTINGS,VC長野トライデンツ,高橋慎治,若山智昭,3,2,5,Win,117
12,17,L,本間隆太,5,●,●,●,●,●,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,30,10.0,12.0,53.3,111,2020-10-23,2020,10,23,長野県,松本市総合体育館,ジェイテクトSTINGS,VC長野トライデンツ,高橋慎治,若山智昭,3,2,5,Win,117
13,19,,浅野博亮,2,□,□,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,4,1.0,0.0,25.0,111,2020-10-23,2020,10,23,長野県,松本市総合体育館,ジェイテクトSTINGS,VC長野トライデンツ,高橋慎治,若山智昭,3,2,5,Win,117
