チーム,選手,アタック,アタック成功:,アタック失敗,アタック打数,アタック決定率,アタック効果率,ブロック成功,サーブ,ノータッチエース,サービスエース,サーブミス,レシーブ失敗,レシーブ成功(優),レシーブ成功(良),失敗かつブレイク,優かつブレイク,良かつブレイク,ブレイク,失敗かつ被サイドアウト,優かつ被サイドアウト,良かつ被サイドアウト,被サイドアウト,その他ミス
ヴィクトリーナ姫路,プラク,109,73,9,191,38.2,33.5,14,175,1,4,16,68.0,82.0,25.0,28.0,29.0,5.0,62.0,40.0,53.0,20.0,113.0,1.0
ヴィクトリーナ姫路,佐々木,26,15,1,42,35.7,33.3,15,150,3,6,30,48.0,71.0,31.0,20.0,18.0,9.0,47.0,28.0,53.0,22.0,103.0,0.0
ヴィクトリーナ姫路,坊野,0,0,0,0,,,0,10,0,0,1,1.0,6.0,3.0,1.0,3.0,0.0,4.0,0.0,3.0,3.0,6.0,0.0
ヴィクトリーナ姫路,堀込,0,0,0,0,,,0,35,0,0,2,16.0,13.0,6.0,7.0,3.0,2.0,12.0,9.0,10.0,4.0,23.0,0.0
ヴィクトリーナ姫路,大元,4,3,0,7,42.9,42.9,0,25,0,1,4,12.0,8.0,5.0,5.0,1.0,2.0,8.0,7.0,7.0,3.0,17.0,0.0
ヴィクトリーナ姫路,孫田,59,27,9,95,28.4,18.9,4,95,1,3,6,30.0,46.0,19.0,18.0,10.0,6.0,34.0,12.0,36.0,13.0,61.0,0.0
ヴィクトリーナ姫路,宮地,26,14,8,48,29.2,12.5,8,98,1,2,16,39.0,42.0,17.0,15.0,7.0,4.0,26.0,24.0,35.0,13.0,72.0,2.0
ヴィクトリーナ姫路,櫻井,3,2,0,5,40.0,40.0,0,142,1,6,18,52.0,72.0,18.0,21.0,23.0,5.0,49.0,31.0,49.0,13.0,93.0,7.0
ヴィクトリーナ姫路,渡邉,85,31,6,122,25.4,20.5,4,130,1,4,11,49.0,55.0,27.0,18.0,22.0,14.0,54.0,31.0,33.0,13.0,77.0,1.0
ヴィクトリーナ姫路,田中,64,36,7,107,33.6,27.1,6,141,2,8,13,42.0,80.0,19.0,17.0,22.0,5.0,44.0,25.0,58.0,14.0,97.0,1.0
ヴィクトリーナ姫路,脇田,2,3,3,8,37.5,0.0,0,6,0,0,2,0.0,4.0,2.0,0.0,3.0,1.0,4.0,0.0,1.0,1.0,2.0,0.0
ヴィクトリーナ姫路,荒谷,2,0,0,2,0.0,0.0,0,1,0,0,0,,,,,,,,,,,,0.0
ヴィクトリーナ姫路,貞包,23,5,0,28,17.9,17.9,0,38,1,0,0,13.0,20.0,5.0,7.0,7.0,2.0,16.0,6.0,13.0,3.0,22.0,0.0
ヴィクトリーナ姫路,金田,0,0,0,0,,,0,12,0,1,2,4.0,6.0,2.0,0.0,3.0,1.0,4.0,4.0,3.0,1.0,8.0,0.0
ヴィクトリーナ姫路,長野,1,0,0,1,0.0,0.0,0,21,2,1,1,6.0,12.0,3.0,3.0,2.0,2.0,7.0,3.0,10.0,1.0,14.0,1.0
東レアローズ,クラン,123,94,12,229,41.0,35.8,20,167,1,6,17,56.0,79.0,32.0,27.0,24.0,12.0,63.0,29.0,54.0,20.0,103.0,4.0
東レアローズ,中田,17,9,1,27,33.3,29.6,1,81,2,4,3,30.0,39.0,12.0,15.0,11.0,6.0,32.0,15.0,28.0,6.0,49.0,1.0
東レアローズ,井上,5,1,0,6,16.7,16.7,4,49,2,0,7,18.0,24.0,7.0,11.0,10.0,2.0,23.0,7.0,14.0,5.0,26.0,0.0
東レアローズ,坂本,0,0,0,0,,,0,8,0,0,0,2.0,5.0,1.0,0.0,3.0,0.0,3.0,2.0,2.0,1.0,5.0,0.0
東レアローズ,大崎,4,9,0,13,69.2,69.2,10,117,4,5,9,31.0,60.0,26.0,14.0,20.0,9.0,43.0,17.0,40.0,17.0,74.0,1.0
東レアローズ,小川,27,24,1,52,46.2,44.2,10,134,3,7,15,34.0,72.0,28.0,17.0,23.0,9.0,49.0,17.0,49.0,19.0,85.0,3.0
東レアローズ,樫村,0,0,0,0,,,0,22,4,0,4,11.0,8.0,3.0,6.0,2.0,0.0,8.0,5.0,6.0,3.0,14.0,0.0
東レアローズ,白井,0,0,0,0,,,0,39,1,2,6,5.0,24.0,10.0,2.0,8.0,2.0,12.0,3.0,16.0,8.0,27.0,1.0
東レアローズ,石川,116,77,8,201,38.3,34.3,6,171,0,2,12,45.0,97.0,29.0,22.0,30.0,8.0,60.0,23.0,67.0,21.0,111.0,4.0
東レアローズ,西川,16,6,1,23,26.1,21.7,3,8,1,0,2,0.0,6.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,6.0,0.0
東レアローズ,野呂,29,6,3,38,15.8,7.9,4,71,0,4,5,19.0,43.0,9.0,9.0,14.0,4.0,27.0,10.0,29.0,5.0,44.0,3.0
東レアローズ,関,4,2,0,6,33.3,33.3,4,142,1,8,11,46.0,66.0,30.0,18.0,23.0,12.0,53.0,28.0,43.0,18.0,89.0,6.0
JTマーヴェラス,タットダオ,7,0,2,9,0.0,-22.2,16,105,1,2,5,26.0,51.0,,11.0,18.0,12.0,41.0,15.0,32.0,16.0,64.0,
JTマーヴェラス,ドルーズ,112,0,12,124,0.0,-9.7,11,101,1,6,26,44.0,42.0,,23.0,14.0,3.0,40.0,21.0,28.0,12.0,61.0,
JTマーヴェラス,ヒックマン,45,0,3,48,0.0,-6.2,9,62,0,2,2,20.0,25.0,,7.0,12.0,8.0,27.0,13.0,13.0,9.0,35.0,
JTマーヴェラス,和田,19,0,4,23,0.0,-17.4,4,25,0,4,9,8.0,10.0,,5.0,3.0,4.0,12.0,3.0,7.0,3.0,13.0,
JTマーヴェラス,小幡,0,0,0,0,,,0,0,0,0,0,,,,,,,,,,,,
JTマーヴェラス,林,65,0,3,68,0.0,-4.4,5,121,0,1,4,28.0,67.0,,13.0,31.0,9.0,53.0,15.0,33.0,18.0,66.0,
JTマーヴェラス,柴田,1,0,0,1,0.0,0.0,1,152,3,1,6,44.0,82.0,,23.0,35.0,13.0,71.0,21.0,47.0,12.0,80.0,
JTマーヴェラス,榊原,5,0,0,5,0.0,0.0,3,40,0,1,4,6.0,25.0,,3.0,10.0,1.0,15.0,3.0,15.0,7.0,25.0,
JTマーヴェラス,橘井,10,0,2,12,0.0,-16.7,1,23,0,3,7,6.0,11.0,,4.0,4.0,0.0,8.0,2.0,7.0,6.0,15.0,
JTマーヴェラス,深萱,0,0,0,0,,,0,2,0,0,1,0.0,2.0,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,
JTマーヴェラス,田中,65,0,7,72,0.0,-9.7,3,89,2,0,12,10.0,64.0,,7.0,28.0,7.0,42.0,3.0,36.0,8.0,47.0,
JTマーヴェラス,目黒,0,0,0,0,,,0,49,0,3,1,7.0,30.0,,5.0,10.0,2.0,17.0,2.0,20.0,10.0,32.0,
JTマーヴェラス,籾井,2,0,0,2,0.0,0.0,0,45,2,2,2,13.0,19.0,,10.0,10.0,7.0,27.0,3.0,9.0,6.0,18.0,
JTマーヴェラス,芥川,14,0,1,15,0.0,-6.7,13,104,3,2,7,31.0,45.0,,10.0,8.0,7.0,25.0,21.0,37.0,21.0,79.0,
JTマーヴェラス,西崎,0,0,0,0,,,0,25,0,1,0,8.0,11.0,,4.0,6.0,2.0,12.0,4.0,5.0,4.0,13.0,
JTマーヴェラス,西川,65,0,6,71,0.0,-8.5,9,88,4,4,6,33.0,32.0,,23.0,13.0,9.0,45.0,10.0,19.0,14.0,43.0,
JTマーヴェラス,高橋,0,0,0,0,,,0,3,0,0,0,0.0,3.0,,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,
KUROBEアクアフェアリーズ,コクラム,52,16,2,70,22.9,20.0,7,56,0,1,4,14.0,28.0,14.0,7.0,6.0,4.0,17.0,7.0,22.0,10.0,39.0,
KUROBEアクアフェアリーズ,ラッツ,33,22,6,61,36.1,26.2,11,42,2,1,6,14.0,24.0,4.0,5.0,6.0,2.0,13.0,9.0,18.0,2.0,29.0,
KUROBEアクアフェアリーズ,小杉,58,20,6,84,23.8,16.7,3,90,1,2,6,25.0,37.0,28.0,9.0,9.0,11.0,29.0,16.0,28.0,17.0,61.0,
KUROBEアクアフェアリーズ,小西,2,1,1,4,25.0,0.0,1,65,0,0,4,18.0,35.0,12.0,8.0,15.0,8.0,31.0,10.0,20.0,4.0,34.0,
KUROBEアクアフェアリーズ,山城,13,3,0,16,18.8,18.8,0,58,0,4,5,14.0,27.0,17.0,7.0,13.0,4.0,24.0,7.0,14.0,13.0,34.0,
KUROBEアクアフェアリーズ,島田,0,3,0,3,100.0,100.0,3,42,0,0,4,12.0,24.0,6.0,7.0,5.0,2.0,14.0,5.0,19.0,4.0,28.0,
KUROBEアクアフェアリーズ,戸部,7,3,2,12,25.0,8.3,6,44,0,1,2,9.0,26.0,9.0,4.0,4.0,2.0,10.0,5.0,22.0,7.0,34.0,
KUROBEアクアフェアリーズ,星加,0,0,0,0,,,0,20,0,0,0,5.0,8.0,7.0,1.0,1.0,0.0,2.0,4.0,7.0,7.0,18.0,
KUROBEアクアフェアリーズ,梅津,20,10,2,32,31.2,25.0,0,28,0,0,1,8.0,9.0,11.0,4.0,4.0,2.0,10.0,4.0,5.0,9.0,18.0,
KUROBEアクアフェアリーズ,浮島,20,12,2,34,35.3,29.4,0,23,0,0,8,8.0,11.0,4.0,2.0,5.0,1.0,8.0,6.0,6.0,3.0,15.0,
KUROBEアクアフェアリーズ,立石,0,0,0,0,,,0,0,0,0,0,,,,,,,,,,,,
KUROBEアクアフェアリーズ,細沼,20,12,0,32,37.5,37.5,15,79,0,2,7,17.0,38.0,24.0,11.0,6.0,6.0,23.0,6.0,32.0,18.0,56.0,
KUROBEアクアフェアリーズ,舛田,33,13,3,49,26.5,20.4,0,34,0,1,2,11.0,15.0,8.0,4.0,1.0,1.0,6.0,7.0,14.0,7.0,28.0,
KUROBEアクアフェアリーズ,菊池,0,0,0,0,,,1,80,0,4,2,17.0,41.0,22.0,3.0,9.0,13.0,25.0,14.0,32.0,9.0,55.0,
KUROBEアクアフェアリーズ,道下,14,16,0,30,53.3,53.3,5,94,0,0,10,32.0,40.0,22.0,15.0,9.0,5.0,29.0,17.0,31.0,17.0,65.0,
KUROBEアクアフェアリーズ,金杉,37,13,6,56,23.2,12.5,2,90,0,3,5,30.0,43.0,17.0,16.0,19.0,9.0,45.0,14.0,24.0,8.0,46.0,
KUROBEアクアフェアリーズ,鈴木,0,0,0,0,,,0,11,0,0,1,0.0,8.0,3.0,0.0,2.0,0.0,2.0,0.0,6.0,3.0,9.0,
NECレッドロケッツ,ウィルハイト,67,46,3,116,39.7,37.1,8,69,1,3,9,25.0,24.0,19.0,13.0,8.0,3.0,24.0,12.0,16.0,16.0,44.0,1.0
NECレッドロケッツ,古谷,47,26,4,77,33.8,28.6,3,49,3,2,9,12.0,27.0,10.0,8.0,7.0,5.0,20.0,4.0,20.0,5.0,29.0,1.0
NECレッドロケッツ,古賀,75,53,10,138,38.4,31.2,5,107,0,2,9,42.0,38.0,27.0,21.0,13.0,11.0,45.0,21.0,25.0,16.0,62.0,2.0
NECレッドロケッツ,塚田,2,2,0,4,50.0,50.0,1,84,0,0,3,15.0,42.0,27.0,9.0,13.0,13.0,35.0,6.0,29.0,14.0,49.0,4.0
NECレッドロケッツ,小島,0,0,0,0,,,0,0,0,0,0,,,,,,,,,,,,1.0
NECレッドロケッツ,山内,23,8,2,33,24.2,18.2,2,33,1,3,3,13.0,12.0,8.0,6.0,2.0,2.0,10.0,7.0,10.0,6.0,23.0,2.0
NECレッドロケッツ,山田,22,22,4,48,45.8,37.5,18,192,4,9,11,72.0,66.0,54.0,32.0,28.0,18.0,78.0,40.0,38.0,35.0,113.0,1.0
NECレッドロケッツ,島村,2,7,0,9,77.8,77.8,4,38,2,1,0,13.0,16.0,9.0,7.0,6.0,4.0,17.0,6.0,10.0,5.0,21.0,0.0
NECレッドロケッツ,川上,6,3,0,9,33.3,33.3,0,17,0,0,0,5.0,3.0,9.0,3.0,2.0,5.0,10.0,2.0,1.0,4.0,7.0,0.0
NECレッドロケッツ,廣瀬,23,17,4,44,38.6,29.5,8,24,0,5,17,9.0,12.0,3.0,5.0,2.0,0.0,7.0,4.0,10.0,3.0,17.0,2.0
NECレッドロケッツ,曽我,53,29,5,87,33.3,27.6,12,114,2,1,7,28.0,53.0,33.0,18.0,27.0,11.0,56.0,10.0,26.0,22.0,58.0,0.0
NECレッドロケッツ,柳田,46,32,3,81,39.5,35.8,6,66,2,1,8,21.0,23.0,22.0,12.0,7.0,11.0,30.0,9.0,16.0,11.0,36.0,1.0
NECレッドロケッツ,澤田,1,1,0,2,50.0,50.0,2,119,0,2,3,35.0,53.0,31.0,23.0,14.0,11.0,48.0,12.0,39.0,20.0,71.0,4.0
NECレッドロケッツ,甲,6,3,0,9,33.3,33.3,4,31,0,0,4,6.0,19.0,6.0,4.0,6.0,4.0,14.0,2.0,13.0,2.0,17.0,0.0
NECレッドロケッツ,野嶋,16,16,3,35,45.7,37.1,9,114,4,1,11,22.0,59.0,33.0,12.0,30.0,10.0,52.0,10.0,29.0,23.0,62.0,1.0
PFUブルーキャッツ,ジャン,52,42,5,99,42.4,37.4,15,152,4,3,21,40.0,82.0,30.0,23.0,33.0,14.0,70.0,17.0,49.0,16.0,82.0,
PFUブルーキャッツ,バルデス,75,62,5,142,43.7,40.1,11,137,5,6,27,37.0,66.0,34.0,17.0,23.0,9.0,49.0,20.0,43.0,25.0,88.0,
PFUブルーキャッツ,合屋,1,0,0,1,0.0,0.0,0,0,0,0,0,,,,,,,,,,,,
PFUブルーキャッツ,堀口,4,3,0,7,42.9,42.9,0,26,0,0,6,6.0,12.0,8.0,3.0,5.0,1.0,9.0,3.0,7.0,7.0,17.0,
PFUブルーキャッツ,山下,1,0,0,1,0.0,0.0,1,27,0,0,5,9.0,12.0,6.0,5.0,4.0,1.0,10.0,4.0,8.0,5.0,17.0,
PFUブルーキャッツ,志摩,70,31,8,109,28.4,21.1,7,135,1,4,11,31.0,67.0,37.0,11.0,23.0,14.0,48.0,20.0,44.0,23.0,87.0,
PFUブルーキャッツ,有田,0,0,0,0,,,0,1,0,0,1,,,,,,,,,,,,
PFUブルーキャッツ,村上,0,1,0,1,100.0,100.0,0,0,0,0,0,,,,,,,,,,,,
PFUブルーキャッツ,渡邊,4,2,0,6,33.3,33.3,0,10,0,0,2,2.0,5.0,3.0,1.0,3.0,1.0,5.0,1.0,2.0,2.0,5.0,
PFUブルーキャッツ,瀬戸,0,0,0,0,,,0,0,0,0,1,,,,,,,,,,,,
PFUブルーキャッツ,田原,6,4,0,10,40.0,40.0,0,107,5,6,12,32.0,44.0,30.0,11.0,12.0,13.0,37.0,20.0,32.0,17.0,69.0,
PFUブルーキャッツ,綿引,18,3,3,24,12.5,0.0,27,165,1,7,4,38.0,87.0,40.0,20.0,24.0,14.0,58.0,18.0,63.0,26.0,107.0,
PFUブルーキャッツ,鍋谷,77,37,2,116,31.9,30.2,11,135,4,4,13,43.0,62.0,30.0,23.0,18.0,13.0,54.0,20.0,44.0,17.0,81.0,
