AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Get Point,Lose Point,Game Time,Start Time,End Time,Spectators,Jury,Chief Umpire,Sub Umpire,Judgeman,Home Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%,Game time
112,44,9,39.3,11.00,23,13,3,56.5,4,1.00,77,0,15,13,-0.6,76,35.0,24.0,61.8,540,2020-12-05,2020,12,05,奈良県,大和郡山市総合公園多目的体育館,東京ヴェルディ,きんでんトリニティーブリッツ,瀧澤利一,檜森輝尚,1,3,4,Lose,76,96,,15:10,16:50,0,高橋憲太郎,藤木博文,宮田裕記,的場早紀,Away,108,50,10,46.3,12.50,22,14,2,63.6,14,3.50,95,2,18,17,1.8,62,28.0,21.0,62.1,91
104,47,7,45.2,11.75,18,6,2,33.3,12,3.00,94,3,10,19,5.6,69,13.0,25.0,37.0,543,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,東京ヴェルディ,サフィルヴァ北海道,瀧澤利一,檜森輝尚,3,1,4,Win,95,86,95,11:00,12:44,0,高橋憲太郎,藤木博文,上村英紀,田中清,Home,135,55,15,40.7,13.75,29,10,5,34.5,8,2.00,87,3,17,29,6.9,82,33.0,29.0,57.9,
135,55,15,40.7,13.75,29,10,5,34.5,8,2.00,87,3,17,29,6.9,82,33.0,29.0,57.9,543,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,サフィルヴァ北海道,東京ヴェルディ,上杉徹,小林準,1,3,4,Lose,86,95,,11:00,12:44,0,高橋憲太郎,藤木博文,上村英紀,田中清,Away,104,47,7,45.2,11.75,18,6,2,33.3,12,3.00,94,3,10,19,5.6,69,13.0,25.0,37.0,95
75,29,4,38.7,9.67,14,2,1,14.3,5,1.67,55,2,9,6,2.3,60,30.0,16.0,63.3,544,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,きんでんトリニティーブリッツ,富士通カワサキレッドスピリッツ,今田善仁,藤島謙裕,0,3,3,Lose,54,75,65,13:35,14:46,0,高橋憲太郎,栗崎慎太郎,宮田裕記,坂上勝信,Home,78,47,3,60.3,15.67,16,9,3,56.2,11,3.67,74,2,12,14,3.4,46,24.0,14.0,67.4,
78,47,3,60.3,15.67,16,9,3,56.2,11,3.67,74,2,12,14,3.4,46,24.0,14.0,67.4,544,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,富士通カワサキレッドスピリッツ,きんでんトリニティーブリッツ,山本道彦,廣本遥,3,0,3,Win,75,54,,13:35,14:46,0,高橋憲太郎,栗崎慎太郎,宮田裕記,坂上勝信,Away,75,29,4,38.7,9.67,14,2,1,14.3,5,1.67,55,2,9,6,2.3,60,30.0,16.0,63.3,65
79,42,7,53.2,14.00,12,5,3,41.7,7,2.33,74,1,3,20,7.1,48,25.0,10.0,62.5,545,2020-12-19,2020,12,19,埼玉県,三郷市総合体育館,埼玉アザレア,長野GaRons,工藤晴康,,3,0,3,Win,75,61,68,14:00,15:14,263,小林朝実,中島俊昌,三浦岳彦,逸見尚史,Home,97,46,8,47.4,15.33,15,8,1,53.3,3,1.00,62,1,14,13,1.2,70,30.0,20.0,57.1,
97,46,8,47.4,15.33,15,8,1,53.3,3,1.00,62,1,14,13,1.2,70,30.0,20.0,57.1,545,2020-12-19,2020,12,19,埼玉県,三郷市総合体育館,長野GaRons,埼玉アザレア,篠崎寛,,0,3,3,Lose,61,75,,14:00,15:14,263,小林朝実,中島俊昌,三浦岳彦,逸見尚史,Away,79,42,7,53.2,14.00,12,5,3,41.7,7,2.33,74,1,3,20,7.1,48,25.0,10.0,62.5,68
93,33,6,35.5,11.00,8,3,1,37.5,13,4.33,78,1,5,19,5.8,56,22.0,14.0,51.8,548,2020-12-20,2020,12,20,埼玉県,三郷市総合体育館,埼玉アザレア,つくばユナイテッドSunGAIA,工藤晴康,,3,0,3,Win,80,74,92,14:00,15:38,288,小林朝実,中島俊昌,三浦岳彦,新井陽子,Home,119,52,11,43.7,17.33,33,15,5,45.5,5,1.67,76,5,17,19,7.2,73,39.0,15.0,63.7,
119,52,11,43.7,17.33,33,15,5,45.5,5,1.67,76,5,17,19,7.2,73,39.0,15.0,63.7,548,2020-12-20,2020,12,20,埼玉県,三郷市総合体育館,つくばユナイテッドSunGAIA,埼玉アザレア,五十嵐元,,0,3,3,Lose,74,80,,14:00,15:38,288,小林朝実,中島俊昌,三浦岳彦,新井陽子,Away,93,33,6,35.5,11.00,8,3,1,37.5,13,4.33,78,1,5,19,5.8,56,22.0,14.0,51.8,92
154,64,18,41.6,12.80,18,7,4,38.9,13,2.60,112,1,13,32,5.1,87,41.0,21.0,59.2,546,2020-12-19,2020,12,19,三重県四日市市,四日市市総合体育館,東京ヴェルディ,兵庫デルフィーノ,瀧澤利一,檜森輝尚,3,2,5,Win,112,102,118,12:00,14:10,0,廣田修二,森西基雄,来川知裕,辻井康博,Home,149,60,16,40.3,12.00,21,3,7,14.3,10,2.00,102,0,15,25,2.5,99,34.0,33.0,51.0,
149,60,16,40.3,12.00,21,3,7,14.3,10,2.00,102,0,15,25,2.5,99,34.0,33.0,51.0,546,2020-12-19,2020,12,19,三重県四日市市,四日市市総合体育館,兵庫デルフィーノ,東京ヴェルディ,岩本正吾,長谷川匡,2,3,5,Lose,102,112,,12:00,14:10,0,廣田修二,森西基雄,来川知裕,辻井康博,Away,154,64,18,41.6,12.80,18,7,4,38.9,13,2.60,112,1,13,32,5.1,87,41.0,21.0,59.2,118
147,70,8,47.6,14.00,18,13,1,72.2,6,1.20,105,3,11,10,2.6,93,60.0,19.0,74.7,547,2020-12-19,2020,12,19,三重県四日市市,四日市市総合体育館,ヴィアティン三重,大同特殊鋼レッドスター,中尾聡,田中一彰,2,3,5,Lose,104,107,108,15:05,17:09,0,廣田修二,中口岳,神原圭吾,澤久忠,Home,145,71,13,49.0,14.20,8,3,1,37.5,12,2.40,106,4,11,12,4.0,93,56.0,25.0,73.7,
145,71,13,49.0,14.20,8,3,1,37.5,12,2.40,106,4,11,12,4.0,93,56.0,25.0,73.7,547,2020-12-19,2020,12,19,三重県四日市市,四日市市総合体育館,大同特殊鋼レッドスター,ヴィアティン三重,平野晃多,,3,2,5,Win,107,104,,15:05,17:09,0,廣田修二,中口岳,神原圭吾,澤久忠,Away,147,70,8,47.6,14.00,18,13,1,72.2,6,1.20,105,3,11,10,2.6,93,60.0,19.0,74.7,108
82,39,6,47.6,13.00,14,5,2,35.7,11,3.67,78,2,10,17,4.8,54,27.0,19.0,67.6,549,2020-12-20,2020,12,20,三重県四日市市,四日市市総合体育館,東京ヴェルディ,兵庫デルフィーノ,瀧澤利一,檜森輝尚,3,0,3,Win,79,68,81,11:00,12:27,0,廣田修二,森西基雄,神原圭吾,辻井康博,Home,96,43,7,44.8,14.33,14,8,1,57.1,4,1.33,69,2,13,8,1.1,66,26.0,22.0,56.1,
96,43,7,44.8,14.33,14,8,1,57.1,4,1.33,69,2,13,8,1.1,66,26.0,22.0,56.1,549,2020-12-20,2020,12,20,三重県四日市市,四日市市総合体育館,兵庫デルフィーノ,東京ヴェルディ,岩本正吾,長谷川匡,0,3,3,Lose,68,79,,11:00,12:27,0,廣田修二,森西基雄,神原圭吾,辻井康博,Away,82,39,6,47.6,13.00,14,5,2,35.7,11,3.67,78,2,10,17,4.8,54,27.0,19.0,67.6,81
119,61,7,51.3,15.25,23,7,3,30.4,9,2.25,92,3,13,7,1.6,83,40.0,29.0,65.7,550,2020-12-20,2020,12,20,三重県四日市市,四日市市総合体育館,ヴィアティン三重,大同特殊鋼レッドスター,中尾聡,田中一彰,1,3,4,Lose,91,92,89,14:00,15:42,0,廣田修二,中口岳,来川知裕,金谷淳史,Home,125,61,10,48.8,15.25,18,8,4,44.4,7,1.75,91,2,7,13,3.8,78,36.0,33.0,67.3,
125,61,10,48.8,15.25,18,8,4,44.4,7,1.75,91,2,7,13,3.8,78,36.0,33.0,67.3,550,2020-12-20,2020,12,20,三重県四日市市,四日市市総合体育館,大同特殊鋼レッドスター,ヴィアティン三重,平野晃多,,3,1,4,Win,92,91,,14:00,15:42,0,廣田修二,中口岳,来川知裕,金谷淳史,Away,119,61,7,51.3,15.25,23,7,3,30.4,9,2.25,92,3,13,7,1.6,83,40.0,29.0,65.7,89
156,59,9,37.8,14.75,22,12,2,54.5,9,2.25,88,3,10,25,7.7,85,42.0,34.0,69.4,553,2021-02-28,2021,02,28,三重県,津市久居総合体育館,ヴィアティン三重,埼玉アザレア,亀田吉彦,田中一彰,1,3,4,Lose,87,90,102,11:00,12:51,0,村上成司,森西基雄,糟谷武彦,辻井康博,Home,135,53,12,39.3,13.25,16,6,4,37.5,15,3.75,89,3,3,8,4.8,76,28.0,22.0,51.3,
135,53,12,39.3,13.25,16,6,4,37.5,15,3.75,89,3,3,8,4.8,76,28.0,22.0,51.3,553,2021-02-28,2021,02,28,三重県,津市久居総合体育館,埼玉アザレア,ヴィアティン三重,工藤晴康,切山雄樹,3,1,4,Win,90,87,,11:00,12:51,0,村上成司,森西基雄,糟谷武彦,辻井康博,Away,156,59,9,37.8,14.75,22,12,2,54.5,9,2.25,88,3,10,25,7.7,85,42.0,34.0,69.4,102
96,44,13,45.8,14.67,19,9,4,47.4,7,2.33,73,3,7,23,9.6,47,23.0,9.0,58.5,557,2021-01-16,2021,01,16,茨城県,つくばカピオ,富士通カワサキレッドスピリッツ,東京ヴェルディ,山本道彦,廣本遥,3,0,3,Win,75,57,68,12:00,13:14,0,大塚達也,中島俊昌,横須賀威之,高橋賢司,Home,79,27,6,34.2,9.00,25,9,4,36.0,6,2.00,59,4,10,15,8.9,65,30.0,12.0,55.4,
79,27,6,34.2,9.00,25,9,4,36.0,6,2.00,59,4,10,15,8.9,65,30.0,12.0,55.4,557,2021-01-16,2021,01,16,茨城県,つくばカピオ,東京ヴェルディ,富士通カワサキレッドスピリッツ,瀧澤利一,檜森輝尚,0,3,3,Lose,57,75,,12:00,13:14,0,大塚達也,中島俊昌,横須賀威之,高橋賢司,Away,96,44,13,45.8,14.67,19,9,4,47.4,7,2.33,73,3,7,23,9.6,47,23.0,9.0,58.5,68
124,61,11,49.2,15.25,13,6,2,46.2,6,1.50,96,3,15,21,4.7,68,35.0,11.0,59.6,558,2021-01-16,2021,01,16,茨城県,つくばカピオ,つくばユナイテッドSunGAIA,大同特殊鋼レッドスター,五十嵐元,,3,1,4,Win,97,82,89,14:05,15:43,0,大塚達也,慈眼雅啓,山崎公寛,須永智紀,Home,128,48,13,37.5,12.00,17,6,5,35.3,5,1.25,83,3,12,22,6.6,81,42.0,18.0,63.0,
128,48,13,37.5,12.00,17,6,5,35.3,5,1.25,83,3,12,22,6.6,81,42.0,18.0,63.0,558,2021-01-16,2021,01,16,茨城県,つくばカピオ,大同特殊鋼レッドスター,つくばユナイテッドSunGAIA,平野晃多,,1,3,4,Lose,82,97,,14:05,15:43,0,大塚達也,慈眼雅啓,山崎公寛,須永智紀,Away,124,61,11,49.2,15.25,13,6,2,46.2,6,1.50,96,3,15,21,4.7,68,35.0,11.0,59.6,89
92,49,6,53.3,16.33,12,3,3,25.0,6,2.00,73,3,8,20,8.2,53,27.0,12.0,62.3,561,2021-01-17,2021,01,17,茨城県,つくばカピオ,つくばユナイテッドSunGAIA,東京ヴェルディ,五十嵐元,,3,0,3,Win,75,62,71,13:00,14:17,0,大塚達也,中島俊昌,山崎公寛,西部芳夫,Home,90,43,5,47.8,14.33,20,8,2,40.0,3,1.00,64,0,11,14,1.2,64,24.0,20.0,53.1,
90,43,5,47.8,14.33,20,8,2,40.0,3,1.00,64,0,11,14,1.2,64,24.0,20.0,53.1,561,2021-01-17,2021,01,17,茨城県,つくばカピオ,東京ヴェルディ,つくばユナイテッドSunGAIA,瀧澤利一,檜森輝尚,0,3,3,Lose,62,75,,13:00,14:17,0,大塚達也,中島俊昌,山崎公寛,西部芳夫,Away,92,49,6,53.3,16.33,12,3,3,25.0,6,2.00,73,3,8,20,8.2,53,27.0,12.0,62.3,71
105,40,11,38.1,13.33,9,2,1,22.2,4,1.33,59,2,11,17,5.9,70,41.0,13.0,67.9,559,2021-01-16,2021,01,16,長野県,須坂市市民体育館,長野GaRons,ヴィアティン三重,篠崎寛,,0,3,3,Lose,58,75,71,13:00,14:17,0,富田満,浜野陽一,木下智宏,橋詰清美,Home,86,36,7,41.9,12.00,15,8,1,53.3,12,4.00,74,1,4,16,5.4,48,19.0,12.0,52.1,
86,36,7,41.9,12.00,15,8,1,53.3,12,4.00,74,1,4,16,5.4,48,19.0,12.0,52.1,559,2021-01-16,2021,01,16,長野県,須坂市市民体育館,ヴィアティン三重,長野GaRons,亀田吉彦,,3,0,3,Win,75,58,,13:00,14:17,0,富田満,浜野陽一,木下智宏,橋詰清美,Away,105,40,11,38.1,13.33,9,2,1,22.2,4,1.33,59,2,11,17,5.9,70,41.0,13.0,67.9,71
111,58,7,52.3,14.50,18,9,3,50.0,13,3.25,96,2,17,23,3.6,67,31.0,15.0,57.5,565,2021-01-23,2021,01,23,東京都,立川市泉市民体育館,富士通カワサキレッドスピリッツ,長野GaRons,山本道彦,廣本遥,3,1,4,Win,97,78,91,13:00,14:40,0,田中昭彦,浜野陽一,明石直樹,塚本健二,Home,99,41,11,41.4,10.25,16,8,4,50.0,6,1.50,79,2,11,20,5.4,78,38.0,16.0,59.0,
99,41,11,41.4,10.25,16,8,4,50.0,6,1.50,79,2,11,20,5.4,78,38.0,16.0,59.0,565,2021-01-23,2021,01,23,東京都,立川市泉市民体育館,長野GaRons,富士通カワサキレッドスピリッツ,篠崎寛,,1,3,4,Lose,78,97,,13:00,14:40,0,田中昭彦,浜野陽一,明石直樹,塚本健二,Away,111,58,7,52.3,14.50,18,9,3,50.0,13,3.25,96,2,17,23,3.6,67,31.0,15.0,57.5,91
118,60,8,50.8,15.00,18,10,2,55.6,12,3.00,97,2,7,22,5.9,78,36.0,20.0,59.0,570,2021-01-24,2021,01,24,東京都,立川市泉市民体育館,富士通カワサキレッドスピリッツ,ヴィアティン三重,山本道彦,廣本遥,3,1,4,Win,98,84,100,12:00,13:49,0,田中昭彦,浜野陽一,高野修,金廣美喜夫,Home,136,55,14,40.4,13.75,8,3,2,37.5,3,0.75,85,5,6,19,9.7,89,34.0,32.0,56.2,
136,55,14,40.4,13.75,8,3,2,37.5,3,0.75,85,5,6,19,9.7,89,34.0,32.0,56.2,570,2021-01-24,2021,01,24,東京都,立川市泉市民体育館,ヴィアティン三重,富士通カワサキレッドスピリッツ,亀田吉彦,,1,3,4,Lose,84,98,,12:00,13:49,0,田中昭彦,浜野陽一,高野修,金廣美喜夫,Away,118,60,8,50.8,15.00,18,10,2,55.6,12,3.00,97,2,7,22,5.9,78,36.0,20.0,59.0,100
85,26,5,30.6,8.67,10,4,1,40.0,2,0.67,52,2,9,15,6.7,63,24.0,24.0,57.1,567,2021-01-23,2021,01,23,兵庫県,西脇市総合市民センター,兵庫デルフィーノ,つくばユナイテッドSunGAIA,岩本正吾,長谷川匡,0,3,3,Lose,50,75,66,13:00,14:12,0,塚本健,糟谷武彦,清水弘也,児島廣幸,Home,78,42,6,53.8,14.00,8,4,1,50.0,12,4.00,73,3,10,15,5.8,41,18.0,8.0,53.7,
78,42,6,53.8,14.00,8,4,1,50.0,12,4.00,73,3,10,15,5.8,41,18.0,8.0,53.7,567,2021-01-23,2021,01,23,兵庫県,西脇市総合市民センター,つくばユナイテッドSunGAIA,兵庫デルフィーノ,五十嵐元,,3,0,3,Win,75,50,,13:00,14:12,0,塚本健,糟谷武彦,清水弘也,児島廣幸,Away,85,26,5,30.6,8.67,10,4,1,40.0,2,0.67,52,2,9,15,6.7,63,24.0,24.0,57.1,66
79,38,10,48.1,12.67,14,7,4,50.0,1,0.33,51,2,8,18,8.8,67,25.0,10.0,44.8,572,2021-01-24,2021,01,24,兵庫県,西脇市総合市民センター,兵庫デルフィーノ,埼玉アザレア,岩本正吾,長谷川匡,0,3,3,Lose,49,75,66,13:00,14:12,0,塚本健,糟谷武彦,清水弘也,山本順一,Home,75,44,3,58.7,14.67,13,9,2,69.2,6,2.00,73,6,4,38,19.9,42,26.0,2.0,64.3,
75,44,3,58.7,14.67,13,9,2,69.2,6,2.00,73,6,4,38,19.9,42,26.0,2.0,64.3,572,2021-01-24,2021,01,24,兵庫県,西脇市総合市民センター,埼玉アザレア,兵庫デルフィーノ,工藤晴康,,3,0,3,Win,75,49,,13:00,14:12,0,塚本健,糟谷武彦,清水弘也,山本順一,Away,79,38,10,48.1,12.67,14,7,4,50.0,1,0.33,51,2,8,18,8.8,67,25.0,10.0,44.8,66
76,43,6,56.6,14.33,16,10,3,62.5,11,3.67,73,0,16,21,1.7,40,7.0,21.0,43.8,575,2021-02-06,2021,02,06,神奈川県,川崎市スポーツ・文化総合センター,富士通カワサキレッドスピリッツ,つくばユナイテッドSunGAIA,山本道彦,廣本遥,3,0,3,Win,75,49,70,13:00,14:16,0,村上成司,藤木博文,飯島梨紗,安齋嶺,Home,76,23,6,30.3,7.67,15,5,1,33.3,3,1.00,51,0,11,12,0.5,57,14.0,22.0,43.9,
76,23,6,30.3,7.67,15,5,1,33.3,3,1.00,51,0,11,12,0.5,57,14.0,22.0,43.9,575,2021-02-06,2021,02,06,神奈川県,川崎市スポーツ・文化総合センター,つくばユナイテッドSunGAIA,富士通カワサキレッドスピリッツ,五十嵐元,,0,3,3,Lose,49,75,,13:00,14:16,0,村上成司,藤木博文,飯島梨紗,安齋嶺,Away,76,43,6,56.6,14.33,16,10,3,62.5,11,3.67,73,0,16,21,1.7,40,7.0,21.0,43.8,70
121,54,9,44.6,13.50,13,8,1,61.5,8,2.00,95,9,10,21,12.4,73,32.0,27.0,62.3,578,2021-02-07,2021,02,07,神奈川県,川崎市スポーツ・文化総合センター,埼玉アザレア,長野GaRons,工藤晴康,,3,1,4,Win,96,85,94,11:00,12:43,0,村上成司,藤木博文,飯島梨紗,櫻井正司,Home,110,55,10,50.0,13.75,15,9,3,60.0,8,2.00,86,2,11,14,3.2,82,27.0,31.0,51.8,
110,55,10,50.0,13.75,15,9,3,60.0,8,2.00,86,2,11,14,3.2,82,27.0,31.0,51.8,578,2021-02-07,2021,02,07,神奈川県,川崎市スポーツ・文化総合センター,長野GaRons,埼玉アザレア,篠崎寛,,1,3,4,Lose,85,96,,11:00,12:43,0,村上成司,藤木博文,飯島梨紗,櫻井正司,Away,121,54,9,44.6,13.50,13,8,1,61.5,8,2.00,95,9,10,21,12.4,73,32.0,27.0,62.3,94
63,30,6,47.6,10.00,10,2,3,20.0,11,3.67,73,5,13,20,9.2,37,11.0,12.0,45.9,579,2021-02-07,2021,02,07,神奈川県,川崎市スポーツ・文化総合センター,富士通カワサキレッドスピリッツ,ヴォレアス北海道,山本道彦,廣本遥,3,0,3,Win,75,56,80,13:30,14:56,0,村上成司,浜野陽一,筒木光,渡部仁志,Home,70,25,9,35.7,8.33,12,4,3,33.3,6,2.00,58,3,20,12,1.7,60,17.0,19.0,44.2,
70,25,9,35.7,8.33,12,4,3,33.3,6,2.00,58,3,20,12,1.7,60,17.0,19.0,44.2,579,2021-02-07,2021,02,07,神奈川県,川崎市スポーツ・文化総合センター,ヴォレアス北海道,富士通カワサキレッドスピリッツ,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,0,3,3,Lose,56,75,,13:30,14:56,0,村上成司,浜野陽一,筒木光,渡部仁志,Away,63,30,6,47.6,10.00,10,2,3,20.0,11,3.67,73,5,13,20,9.2,37,11.0,12.0,45.9,80
80,40,5,50.0,13.33,12,5,0,41.7,6,2.00,73,4,13,14,5.8,48,22.0,13.0,59.4,577,2021-02-06,2021,02,06,三重県,AGF鈴鹿体育館,ヴィアティン三重,兵庫デルフィーノ,亀田吉彦,田中一彰,3,0,3,Win,75,57,64,14:00,15:10,0,富田満,森西基雄,糟谷武彦,桜井裕佑,Home,78,35,9,44.9,11.67,12,7,2,58.3,4,1.33,59,0,11,13,0.8,57,29.0,13.0,62.3,
78,35,9,44.9,11.67,12,7,2,58.3,4,1.33,59,0,11,13,0.8,57,29.0,13.0,62.3,577,2021-02-06,2021,02,06,三重県,AGF鈴鹿体育館,兵庫デルフィーノ,ヴィアティン三重,岩本正吾,奥田晃,0,3,3,Lose,57,75,,14:00,15:10,0,富田満,森西基雄,糟谷武彦,桜井裕佑,Away,80,40,5,50.0,13.33,12,5,0,41.7,6,2.00,73,4,13,14,5.8,48,22.0,13.0,59.4,64
