AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Get Point,Lose Point,Game Time,Start Time,End Time,Spectators,Jury,Chief Umpire,Sub Umpire,Judgeman,Home Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%,Game time
97,48,9,49.5,16.00,15,8,5,53.3,7,2.33,74,4,9,20,9.1,43,36.0,5.0,89.5,580,2021-02-07,2021,02,07,三重県,AGF鈴鹿体育館,大同特殊鋼レッドスター,兵庫デルフィーノ,平野晃多,,3,0,3,Win,75,47,64,13:10,14:20,0,富田満,中口岳,神原圭吾,深田勝利,Home,91,28,11,30.8,9.33,15,4,2,26.7,1,0.33,48,0,5,2,-1.6,64,21.0,20.0,48.4,
91,28,11,30.8,9.33,15,4,2,26.7,1,0.33,48,0,5,2,-1.6,64,21.0,20.0,48.4,580,2021-02-07,2021,02,07,三重県,AGF鈴鹿体育館,兵庫デルフィーノ,大同特殊鋼レッドスター,岩本正吾,白川佑樹,0,3,3,Lose,47,75,,13:10,14:20,0,富田満,中口岳,神原圭吾,深田勝利,Away,97,48,9,49.5,16.00,15,8,5,53.3,7,2.33,74,4,9,20,9.1,43,36.0,5.0,89.5,64
125,60,9,48.0,15.00,16,5,2,31.2,10,2.50,92,4,9,16,6.2,82,32.0,25.0,54.3,581,2021-02-13,2021,02,13,埼玉県,熊谷市立市民体育館,埼玉アザレア,ヴィアティン三重,工藤晴康,岩川泰巳,3,1,4,Win,93,87,99,14:00,15:48,188,小林朝実,竹澤拓人,三浦岳彦,古田ゆき江,Home,133,58,8,43.6,14.50,20,10,4,50.0,5,1.25,88,2,6,23,7.1,81,49.0,14.0,69.1,
133,58,8,43.6,14.50,20,10,4,50.0,5,1.25,88,2,6,23,7.1,81,49.0,14.0,69.1,581,2021-02-13,2021,02,13,埼玉県,熊谷市立市民体育館,ヴィアティン三重,埼玉アザレア,亀田吉彦,,1,3,4,Lose,87,93,,14:00,15:48,188,小林朝実,竹澤拓人,三浦岳彦,古田ゆき江,Away,125,60,9,48.0,15.00,16,5,2,31.2,10,2.50,92,4,9,16,6.2,82,32.0,25.0,54.3,99
159,59,15,37.1,14.75,29,8,7,27.6,10,2.50,91,4,18,23,5.8,93,42.0,27.0,59.7,584,2021-02-13,2021,02,13,長野県,須坂市市民体育館,長野GaRons,つくばユナイテッドSunGAIA,篠崎寛,,1,3,4,Lose,90,100,100,13:00,14:50,220,斎藤篤,慈眼雅啓,山条康弘,橋詰清美,Home,136,52,7,38.2,13.00,20,3,1,15.0,10,2.50,99,1,6,24,5.6,72,33.0,16.0,56.9,
136,52,7,38.2,13.00,20,3,1,15.0,10,2.50,99,1,6,24,5.6,72,33.0,16.0,56.9,584,2021-02-13,2021,02,13,長野県,須坂市市民体育館,つくばユナイテッドSunGAIA,長野GaRons,五十嵐元,,3,1,4,Win,100,90,,13:00,14:50,220,斎藤篤,慈眼雅啓,山条康弘,橋詰清美,Away,159,59,15,37.1,14.75,29,8,7,27.6,10,2.50,91,4,18,23,5.8,93,42.0,27.0,59.7,100
69,37,3,53.6,12.33,12,5,0,41.7,8,2.67,74,5,12,24,10.8,32,21.0,8.0,78.1,585,2021-02-13,2021,02,13,長野県,須坂市市民体育館,富士通カワサキレッドスピリッツ,兵庫デルフィーノ,山本道彦,廣本遥,3,0,3,Win,75,41,62,16:00,17:08,200,斎藤篤,糟谷武彦,待井広光,橋詰清美,Home,70,21,12,30.0,7.00,14,3,4,21.4,4,1.33,42,1,9,3,-1.2,59,16.0,17.0,41.5,
70,21,12,30.0,7.00,14,3,4,21.4,4,1.33,42,1,9,3,-1.2,59,16.0,17.0,41.5,585,2021-02-13,2021,02,13,長野県,須坂市市民体育館,兵庫デルフィーノ,富士通カワサキレッドスピリッツ,岩本正吾,白川佑樹,0,3,3,Lose,41,75,,16:00,17:08,200,斎藤篤,糟谷武彦,待井広光,橋詰清美,Away,69,37,3,53.6,12.33,12,5,0,41.7,8,2.67,74,5,12,24,10.8,32,21.0,8.0,78.1,62
97,40,10,41.2,13.33,13,6,1,46.2,3,1.00,62,2,13,11,2.4,63,26.0,23.0,59.5,589,2021-02-14,2021,02,14,長野県,須坂市市民体育館,長野GaRons,富士通カワサキレッドスピリッツ,篠崎寛,,0,3,3,Lose,61,75,68,11:00,12:15,240,斎藤篤,糟谷武彦,山条康弘,橋詰清美,Home,84,45,4,53.6,15.00,23,13,1,56.5,4,1.33,74,3,10,12,4.7,48,24.0,12.0,62.5,
84,45,4,53.6,15.00,23,13,1,56.5,4,1.33,74,3,10,12,4.7,48,24.0,12.0,62.5,589,2021-02-14,2021,02,14,長野県,須坂市市民体育館,富士通カワサキレッドスピリッツ,長野GaRons,山本道彦,廣本遥,3,0,3,Win,75,61,,11:00,12:15,240,斎藤篤,糟谷武彦,山条康弘,橋詰清美,Away,97,40,10,41.2,13.33,13,6,1,46.2,3,1.00,62,2,13,11,2.4,63,26.0,23.0,59.5,68
58,37,3,63.8,12.33,7,3,1,42.9,7,2.33,73,5,8,25,12.7,41,25.0,5.0,67.1,590,2021-02-14,2021,02,14,長野県,須坂市市民体育館,つくばユナイテッドSunGAIA,兵庫デルフィーノ,五十嵐元,西田雄亮,3,0,3,Win,75,50,62,13:05,14:13,182,斎藤篤,慈眼雅啓,待井広光,樋口裕晃,Home,74,30,15,40.5,10.00,13,5,3,38.5,3,1.00,52,3,10,11,6.2,65,19.0,21.0,45.4,
74,30,15,40.5,10.00,13,5,3,38.5,3,1.00,52,3,10,11,6.2,65,19.0,21.0,45.4,590,2021-02-14,2021,02,14,長野県,須坂市市民体育館,兵庫デルフィーノ,つくばユナイテッドSunGAIA,岩本正吾,白川佑樹,0,3,3,Lose,50,75,,13:05,14:13,182,斎藤篤,慈眼雅啓,待井広光,樋口裕晃,Away,58,37,3,63.8,12.33,7,3,1,42.9,7,2.33,73,5,8,25,12.7,41,25.0,5.0,67.1,62
71,38,3,53.5,12.67,19,7,2,36.8,6,2.00,74,4,17,23,7.4,47,26.0,6.0,61.7,591,2021-02-20,2021,02,20,北海道,北ガスアリーナ札幌46,ヴォレアス北海道,つくばユナイテッドSunGAIA,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,0,3,Win,75,59,77,13:00,14:23,0,大江憲一,坂本雅春,上總向貴,黒澤研一,Home,74,28,11,37.8,9.33,21,8,4,38.1,6,2.00,60,2,12,15,4.6,56,25.0,9.0,52.7,
74,28,11,37.8,9.33,21,8,4,38.1,6,2.00,60,2,12,15,4.6,56,25.0,9.0,52.7,591,2021-02-20,2021,02,20,北海道,北ガスアリーナ札幌46,つくばユナイテッドSunGAIA,ヴォレアス北海道,五十嵐元,,0,3,3,Lose,59,75,,13:00,14:23,0,大江憲一,坂本雅春,上總向貴,黒澤研一,Away,71,38,3,53.5,12.67,19,7,2,36.8,6,2.00,74,4,17,23,7.4,47,26.0,6.0,61.7,77
76,45,3,59.2,15.00,10,6,0,60.0,10,3.33,73,4,14,19,7.2,42,15.0,16.0,54.8,592,2021-02-20,2021,02,20,北海道,北ガスアリーナ札幌46,サフィルヴァ北海道,兵庫デルフィーノ,上杉徹,小林準,3,0,3,Win,75,51,64,16:00,17:17,0,大江憲一,正岡卓,川島秀夫,藤原啓子,Home,78,28,3,35.9,9.33,11,3,2,27.3,5,1.67,53,1,11,10,1.4,57,17.0,19.0,46.5,
78,28,3,35.9,9.33,11,3,2,27.3,5,1.67,53,1,11,10,1.4,57,17.0,19.0,46.5,592,2021-02-20,2021,02,20,北海道,北ガスアリーナ札幌46,兵庫デルフィーノ,サフィルヴァ北海道,岩本正吾,奥田晃,0,3,3,Lose,51,75,,16:00,17:17,0,大江憲一,正岡卓,川島秀夫,藤原啓子,Away,76,45,3,59.2,15.00,10,6,0,60.0,10,3.33,73,4,14,19,7.2,42,15.0,16.0,54.8,64
76,37,6,48.7,12.33,12,4,2,33.3,14,4.67,74,3,12,19,6.4,48,28.0,7.0,65.6,595,2021-02-21,2021,02,21,北海道,北ガスアリーナ札幌46,ヴォレアス北海道,兵庫デルフィーノ,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,0,3,Win,76,53,71,11:00,12:17,0,大江憲一,正岡卓,上總向貴,大友大輔,Home,91,30,11,33.0,10.00,13,4,4,30.8,3,1.00,55,1,6,13,5.0,61,27.0,15.0,56.6,
91,30,11,33.0,10.00,13,4,4,30.8,3,1.00,55,1,6,13,5.0,61,27.0,15.0,56.6,595,2021-02-21,2021,02,21,北海道,北ガスアリーナ札幌46,兵庫デルフィーノ,ヴォレアス北海道,岩本正吾,奥田晃,0,3,3,Lose,53,76,,11:00,12:17,0,大江憲一,正岡卓,上總向貴,大友大輔,Away,76,37,6,48.7,12.33,12,4,2,33.3,14,4.67,74,3,12,19,6.4,48,28.0,7.0,65.6,71
119,58,8,48.7,14.50,19,10,4,52.6,11,2.75,89,3,16,18,3.9,76,22.0,21.0,42.8,596,2021-02-21,2021,02,21,北海道,北ガスアリーナ札幌46,サフィルヴァ北海道,つくばユナイテッドSunGAIA,上杉徹,小林準,3,1,4,Win,90,86,91,14:00,15:47,0,大江憲一,坂本雅春,川島秀夫,本保敦理,Home,119,46,8,38.7,11.50,20,10,2,50.0,9,2.25,87,5,10,30,11.5,72,29.0,23.0,56.2,
119,46,8,38.7,11.50,20,10,2,50.0,9,2.25,87,5,10,30,11.5,72,29.0,23.0,56.2,596,2021-02-21,2021,02,21,北海道,北ガスアリーナ札幌46,つくばユナイテッドSunGAIA,サフィルヴァ北海道,五十嵐元,,1,3,4,Lose,86,90,,14:00,15:47,0,大江憲一,坂本雅春,川島秀夫,本保敦理,Away,119,58,8,48.7,14.50,19,10,4,52.6,11,2.75,89,3,16,18,3.9,76,22.0,21.0,42.8,91
147,71,15,48.3,14.20,16,9,1,56.2,15,3.00,112,3,16,20,3.6,95,60.0,21.0,74.2,593,2021-02-20,2021,02,20,愛知県,メディアス体育館ちた,大同特殊鋼レッドスター,長野GaRons,平野晃多,,2,3,5,Lose,111,109,102,13:00,14:54,0,廣田修二,神原圭吾,来川知裕,井村幸二,Home,147,67,10,45.6,13.40,18,8,5,44.4,6,1.20,108,4,11,12,3.9,94,58.0,15.0,69.7,
147,67,10,45.6,13.40,18,8,5,44.4,6,1.20,108,4,11,12,3.9,94,58.0,15.0,69.7,593,2021-02-20,2021,02,20,愛知県,メディアス体育館ちた,長野GaRons,大同特殊鋼レッドスター,篠崎寛,,3,2,5,Win,109,111,,13:00,14:54,0,廣田修二,神原圭吾,来川知裕,井村幸二,Away,147,71,15,48.3,14.20,16,9,1,56.2,15,3.00,112,3,16,20,3.6,95,60.0,21.0,74.2,102
138,63,10,45.7,12.60,17,9,2,52.9,10,2.00,113,2,11,22,4.2,90,60.0,22.0,78.9,597,2021-02-21,2021,02,21,愛知県,メディアス体育館ちた,大同特殊鋼レッドスター,長野GaRons,平野晃多,,3,2,5,Win,113,111,106,13:00,14:58,0,廣田修二,神原圭吾,来川知裕,井村幸二,Home,155,73,14,47.1,14.60,17,7,3,41.2,10,2.00,111,2,20,7,-1.1,101,52.0,26.0,64.4,
155,73,14,47.1,14.60,17,7,3,41.2,10,2.00,111,2,20,7,-1.1,101,52.0,26.0,64.4,597,2021-02-21,2021,02,21,愛知県,メディアス体育館ちた,長野GaRons,大同特殊鋼レッドスター,篠崎寛,,2,3,5,Lose,111,113,,13:00,14:58,0,廣田修二,神原圭吾,来川知裕,井村幸二,Away,138,63,10,45.7,12.60,17,9,2,52.9,10,2.00,113,2,11,22,4.2,90,60.0,22.0,78.9,106
91,39,12,42.9,13.00,11,7,2,63.6,5,1.67,65,3,6,10,6.2,64,36.0,12.0,65.6,600,2021-02-27,2021,02,27,三重県,津市久居総合体育館,ヴィアティン三重,富士通カワサキレッドスピリッツ,亀田吉彦,田中一彰,0,3,3,Lose,64,78,75,15:00,16:21,0,村上成司,森西基雄,神原圭吾,澤久忠,Home,91,51,6,56.0,17.00,14,8,3,57.1,7,2.33,77,2,11,16,4.2,59,32.0,14.0,66.1,
91,51,6,56.0,17.00,14,8,3,57.1,7,2.33,77,2,11,16,4.2,59,32.0,14.0,66.1,600,2021-02-27,2021,02,27,三重県,津市久居総合体育館,富士通カワサキレッドスピリッツ,ヴィアティン三重,山本道彦,廣本遥,3,0,3,Win,78,64,,15:00,16:21,0,村上成司,森西基雄,神原圭吾,澤久忠,Away,91,39,12,42.9,13.00,11,7,2,63.6,5,1.67,65,3,6,10,6.2,64,36.0,12.0,65.6,75
106,53,6,50.0,17.67,13,5,1,38.5,8,2.67,81,0,8,18,3.1,62,26.0,16.0,54.8,603,2021-02-27,2021,02,27,三重県,津市久居総合体育館,埼玉アザレア,大同特殊鋼レッドスター,工藤晴康,切山雄樹,3,0,3,Win,82,74,79,12:00,13:25,0,村上成司,藤木博文,糟谷武彦,辻井康博,Home,121,51,8,42.1,17.00,19,7,4,36.8,5,1.67,75,1,13,19,3.3,73,33.0,22.0,60.3,
121,51,8,42.1,17.00,19,7,4,36.8,5,1.67,75,1,13,19,3.3,73,33.0,22.0,60.3,603,2021-02-27,2021,02,27,三重県,津市久居総合体育館,大同特殊鋼レッドスター,埼玉アザレア,平野晃多,,0,3,3,Lose,74,82,,12:00,13:25,0,村上成司,藤木博文,糟谷武彦,辻井康博,Away,106,53,6,50.0,17.67,13,5,1,38.5,8,2.67,81,0,8,18,3.1,62,26.0,16.0,54.8,79
152,65,12,42.8,13.00,21,9,3,42.9,9,1.80,108,8,16,42,13.4,97,30.0,38.0,50.5,602,2021-02-28,2021,02,28,兵庫県,西脇市総合市民センター,兵庫デルフィーノ,長野GaRons,岩本正吾,長谷川匡,2,3,5,Lose,107,113,115,12:00,14:07,0,加治健男,中口岳,清水弘也,児島廣幸,Home,148,71,7,48.0,14.20,14,8,1,57.1,7,1.40,112,2,15,30,5.1,86,18.0,26.0,36.0,
148,71,7,48.0,14.20,14,8,1,57.1,7,1.40,112,2,15,30,5.1,86,18.0,26.0,36.0,602,2021-02-28,2021,02,28,兵庫県,西脇市総合市民センター,長野GaRons,兵庫デルフィーノ,篠崎寛,,3,2,5,Win,113,107,,12:00,14:07,0,加治健男,中口岳,清水弘也,児島廣幸,Away,152,65,12,42.8,13.00,21,9,3,42.9,9,1.80,108,8,16,42,13.4,97,30.0,38.0,50.5,115
46,28,2,60.9,9.33,13,7,1,53.8,10,3.33,74,9,14,17,13.2,31,12.0,9.0,53.2,605,2021-02-27,2021,02,27,兵庫県,西脇市総合市民センター,ヴォレアス北海道,長野GaRons,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,0,3,Win,75,38,56,13:00,14:02,0,加治健男,中口岳,竹見聖司,山内康史,Home,73,17,18,23.3,5.67,8,3,3,37.5,1,0.33,39,2,8,10,6.4,56,25.0,14.0,57.1,
73,17,18,23.3,5.67,8,3,3,37.5,1,0.33,39,2,8,10,6.4,56,25.0,14.0,57.1,605,2021-02-27,2021,02,27,兵庫県,西脇市総合市民センター,長野GaRons,ヴォレアス北海道,篠崎寛,,0,3,3,Lose,38,75,,13:00,14:02,0,加治健男,中口岳,竹見聖司,山内康史,Away,46,28,2,60.9,9.33,13,7,1,53.8,10,3.33,74,9,14,17,13.2,31,12.0,9.0,53.2,56
115,61,11,53.0,15.25,26,12,3,46.2,11,2.75,110,5,18,24,5.9,71,31.0,20.0,57.7,607,2021-03-06,2021,03,06,北海道,旭川市リアルター夢りんご体育館,富士通カワサキレッドスピリッツ,サフィルヴァ北海道,山本道彦,廣本遥,3,1,4,Win,111,91,104,10:00,11:53,307,大江憲一,上総向貴,藤井靖香,佐藤真理,Home,114,48,11,42.1,12.00,24,7,4,29.2,10,2.50,92,3,19,20,3.5,90,40.0,26.0,58.9,
114,48,11,42.1,12.00,24,7,4,29.2,10,2.50,92,3,19,20,3.5,90,40.0,26.0,58.9,607,2021-03-06,2021,03,06,北海道,旭川市リアルター夢りんご体育館,サフィルヴァ北海道,富士通カワサキレッドスピリッツ,上杉徹,小林準,1,3,4,Lose,91,111,,10:00,11:53,307,大江憲一,上総向貴,藤井靖香,佐藤真理,Away,115,61,11,53.0,15.25,26,12,3,46.2,11,2.75,110,5,18,24,5.9,71,31.0,20.0,57.7,104
93,43,8,46.2,14.33,23,10,4,43.5,13,4.33,75,3,15,21,6.0,58,37.0,14.0,75.9,608,2021-03-06,2021,03,06,北海道,旭川市リアルター夢りんご体育館,ヴォレアス北海道,埼玉アザレア,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,0,3,Win,77,61,84,13:30,15:07,697,大江憲一,大塚健之,小瀧健二,大友大輔,Home,85,29,9,34.1,9.67,12,4,3,33.3,7,2.33,63,1,5,7,2.4,59,30.0,8.0,57.6,
85,29,9,34.1,9.67,12,4,3,33.3,7,2.33,63,1,5,7,2.4,59,30.0,8.0,57.6,608,2021-03-06,2021,03,06,北海道,旭川市リアルター夢りんご体育館,埼玉アザレア,ヴォレアス北海道,工藤晴康,,0,3,3,Lose,61,77,,13:30,15:07,697,大江憲一,大塚健之,小瀧健二,大友大輔,Away,93,43,8,46.2,14.33,23,10,4,43.5,13,4.33,75,3,15,21,6.0,58,37.0,14.0,75.9,84
115,47,4,40.9,15.67,17,7,1,41.2,6,2.00,83,4,4,17,8.7,60,28.0,15.0,59.2,609,2021-03-07,2021,03,07,北海道,旭川市リアルター夢りんご体育館,埼玉アザレア,サフィルヴァ北海道,工藤晴康,,3,0,3,Win,85,75,84,10:00,11:30,498,大江憲一,大塚健之,藤井靖香,大友大輔,Home,126,54,9,42.9,18.00,26,15,3,57.7,11,3.67,77,2,17,17,2.6,78,32.0,29.0,59.6,
126,54,9,42.9,18.00,26,15,3,57.7,11,3.67,77,2,17,17,2.6,78,32.0,29.0,59.6,609,2021-03-07,2021,03,07,北海道,旭川市リアルター夢りんご体育館,サフィルヴァ北海道,埼玉アザレア,上杉徹,小林準,0,3,3,Lose,75,85,,10:00,11:30,498,大江憲一,大塚健之,藤井靖香,大友大輔,Away,115,47,4,40.9,15.67,17,7,1,41.2,6,2.00,83,4,4,17,8.7,60,28.0,15.0,59.2,84
99,45,8,45.5,15.00,13,6,0,46.2,6,2.00,72,1,16,20,2.8,67,32.0,15.0,59.0,610,2021-03-07,2021,03,07,北海道,旭川市リアルター夢りんご体育館,ヴォレアス北海道,富士通カワサキレッドスピリッツ,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,0,3,3,Lose,70,81,86,13:30,15:09,834,大江憲一,上総向貴,小瀧健二,佐藤真理,Home,91,47,5,51.6,15.67,13,8,2,61.5,6,2.00,79,0,12,20,2.5,56,22.0,14.0,51.8,
91,47,5,51.6,15.67,13,8,2,61.5,6,2.00,79,0,12,20,2.5,56,22.0,14.0,51.8,610,2021-03-07,2021,03,07,北海道,旭川市リアルター夢りんご体育館,富士通カワサキレッドスピリッツ,ヴォレアス北海道,山本道彦,廣本遥,3,0,3,Win,81,70,,13:30,15:09,834,大江憲一,上総向貴,小瀧健二,佐藤真理,Away,99,45,8,45.5,15.00,13,6,0,46.2,6,2.00,72,1,16,20,2.8,67,32.0,15.0,59.0,86
112,51,6,45.5,17.00,17,6,1,35.3,6,2.00,86,1,14,23,3.8,55,31.0,10.0,65.5,563,2021-02-07,2021,02,07,三重県,AGF鈴鹿体育館,ヴィアティン三重,サフィルヴァ北海道,亀田吉彦,田中一彰,3,0,3,Win,88,72,86,11:00,12:32,0,富田満,赤松佑亮,糟谷武彦,辻井康博,Home,103,40,11,38.8,13.33,18,5,3,27.8,10,3.33,74,1,19,13,-0.7,71,25.0,23.0,51.4,
103,40,11,38.8,13.33,18,5,3,27.8,10,3.33,74,1,19,13,-0.7,71,25.0,23.0,51.4,563,2021-02-07,2021,02,07,三重県,AGF鈴鹿体育館,サフィルヴァ北海道,ヴィアティン三重,上杉徹,小林準,0,3,3,Lose,72,88,,11:00,12:32,0,富田満,赤松佑亮,糟谷武彦,辻井康博,Away,112,51,6,45.5,17.00,17,6,1,35.3,6,2.00,86,1,14,23,3.8,55,31.0,10.0,65.5,86
76,37,8,48.7,12.33,6,1,3,16.7,3,1.00,74,6,9,18,11.1,39,19.0,11.0,62.8,564,2021-02-06,2021,02,06,三重県,AGF鈴鹿体育館,大同特殊鋼レッドスター,サフィルヴァ北海道,平野晃多,,3,0,3,Win,75,58,63,12:00,13:09,0,富田満,中口岳,神原圭吾,辻井康博,Home,73,32,8,43.8,10.67,7,3,1,42.9,6,2.00,59,2,19,8,-1.3,63,27.0,14.0,54.0,
73,32,8,43.8,10.67,7,3,1,42.9,6,2.00,59,2,19,8,-1.3,63,27.0,14.0,54.0,564,2021-02-06,2021,02,06,三重県,AGF鈴鹿体育館,サフィルヴァ北海道,大同特殊鋼レッドスター,上杉徹,小林準,0,3,3,Lose,58,75,,12:00,13:09,0,富田満,中口岳,神原圭吾,辻井康博,Away,76,37,8,48.7,12.33,6,1,3,16.7,3,1.00,74,6,9,18,11.1,39,19.0,11.0,62.8,63
